customer_id,tenure,monthly_spend,usage_frequency,support_tickets,plan_type,churn_label
266370108b5d9e206cea296c28b9a4e5223a31f2e8e1491e25c84fdf1369318c,26,48.8,4,0,pro,0
5495656ace86f6d0ce3fe39e8b230ddecccb552a38260787af0c3b5f696b7bc9,13,48.8,30,0,pro,1
7357f8f39999c69417329088ce46f6017f4080fb3cbbd11b85cc51ad656b87b8,22,118.5,30,0,enterprise,0
079c2e278460670fdc8c81f7679824dc75c18ded8216adf68b44f53f4355b386,4,42.85,4,0,basic,0
70971f180561533fb36e22a595a5b0851dce1b1f504f5d13ad8c5f1cb673b4c5,11,30.95,4,1,basic,1
6dfd298d0e90dac5bdfcb7b93ac55bfafa2d7e1d7439f675b1bc8fcdf3f1e4ef,1,59.0,30,0,pro,0
7ad2ea62a4d65539f62bf47c1b1a2fc5edcbdf63b2d8ba4cd89bafee326534b0,15,27.55,0,1,basic,1
74d565aa9a1d2a3d81fbbe235545ba55b67ea4b13ab4e563c36d9e0ddf209679,32,42.0,4,0,basic,0
605f8bbc3653adb0a320fbf95a9a8edfc50a95a810e2e32159c4ac0971005073,10,46.25,30,0,basic,0
9f0fec8ca2c69d198106000127be17697d6b59b7618aae40d36bb4ac780d2736,1,54.75,30,0,pro,0
724ad2917ea5b65a351d1d5345516175ec440dca1119eb23effad9e8becd5542,24,32.65,0,1,basic,1
5f75b981927b6e3649ad84c9d351342456b527316a94afc9d1cec3a960891f88,30,40.3,30,0,basic,0
74f61229d2c692e3952fa23cc0d67d4b482721a5b89d8d9a7481f7d31028bb65,34,30.95,0,0,basic,1
0b18c486ef1fd01f750c6401948e96824508f3e6d80ab326806b1025cdb69f59,26,39.45,30,0,basic,0
9e349d582b3c07d41ecf98b78e87e1a59b2aedae1f9ad2baca6692cb2dab35f8,20,64.1,30,0,pro,0
ec973e0c914d71c7d2e04902cd7353bfcc1dec59d686c30aa3226ede20aa0edf,1,47.1,4,0,pro,0
474b65a9c4d97d885fbd9412bfe425b439049e6cfbb005d3ac3d8ccea53514c7,23,25.85,0,1,basic,1
78031e46aee1f7733d55956a60033e2d92f9fe3011dd69514ca41680c900cf23,17,34.35,0,1,basic,1
ad7bdab23799ac6d317cf0b8df7b077aad70eb93df680c439aed34c267c7116b,23,52.2,30,0,pro,1
bde0683b6c9250e6e2b078813fabdda5ad98364fc70dd0815a45594e2048f68c,1,73.45,30,0,pro,0
4e7c4806e6c621d6a1a15a58bea02782943f0f2068d1aeb74e3657a57fcd61cc,2,73.45,4,0,pro,0
3b3c9e381dc1408ea28444a8880447f32dd5db3d63df2159cbc1c4489e57061b,31,47.95,4,0,pro,0
bcc16275b9b612021f0b4597d156747c2da88300e568ac821615585202b9840a,3,26.7,0,0,basic,1
4bac13f73069ef076bae0e0fadddc6e11734116776c3096e1281d1e65f4a07a9,24,68.35,4,0,pro,0
788753931598f62b6964f912d9501e2c1ee600bce90192741e48a56c8bb6e653,5,57.3,30,0,pro,0
85d7613c4d29197cddaed4734ff467a8adbef781d129152918c21caf89c8bfb3,16,59.85,4,0,pro,0
e56415a238f0229b3a83bb69928f3c4ec2c8eef0146aaa26291c946becdfae54,12,26.7,0,1,basic,1
db4b8092ae3bdadfe3670762fcf509d514d9a3d3cd938d3b7d7326401a4ae4c5,25,33.5,4,0,basic,1
df2bf12835f41037728cb799654ad4e35e0cf5725f5737988fe968e4f9cd114b,30,36.05,4,0,basic,1
0c747ad5389a30cdfb0c01af11627cce68c7c43516a816a711cb6c823c2853f0,35,93.85,30,1,enterprise,0
c0c0905a827f90ffd6d60c22661623064d2ffec650889c55c4dbb192d55d64b6,4,31.8,4,1,basic,1
a638d1b0c1d99ccee12180991cde595d062302f2f14727eacbdc7ea5f0486e1c,11,31.8,0,0,basic,1
522529d027721890ee64445ac53e62b8959ec832e617fb8a524ab1c44b2f5391,15,25.85,4,0,basic,1
d47b491143db45877e416b5687882261cf8a29b35ece9499d67a7faf143aab96,36,71.75,4,0,pro,0
a5fca75e02856acf33ba83099b9841226025ca0da8904ba713fcfe30b6139c6d,27,44.55,30,0,basic,0
8d1e77243336729d760dd136d9b33d41e2f73aa088916f9116c20046aefd2083,5,35.2,0,1,basic,0
3679bb11705e619ccbf7dcb3f4cf6b421d2a85809bee8f33e81073e768368e5e,32,64.95,4,0,pro,0
4bf9f2d39cef8d1e06181f2107c274f2fd8afd30dadfd0017470f6e523bb2041,19,114.25,30,1,enterprise,0
fad06984ca40908058c0f38ad5aebb473a6ca866363ca87b93ebb2215874ec74,13,58.15,4,0,pro,0
429399d57a5f1adefee1b311ce0374d8a2894ebf97f8c8ade9a9bdb4975e9df8,13,74.3,30,0,pro,0
e929ad5c41737e100c52a294c6d49410faf9f6dd04abd1c1c840075c58bd9380,31,35.2,0,1,basic,1
9e7f2c1c6f8571937448bb75b19b581fa6221db98ac3b984733d20afef4e9436,28,30.1,4,1,basic,1
94c6e94dd788fe95374b362a788bd65b310f0e8962d35dd021c6a19b8dfe95f1,17,28.4,0,1,basic,1
3f0148792cafbdb42ab6e0d0bed9ee4ab66df3797b3e2506a87b7a6c498b20a2,19,82.8,30,0,pro,0
68e50695f256cc5de5c13856d6c4e66f4bcfe24d8f6265c335ac15da47737211,15,37.75,4,0,basic,1
19e845fe8a3caa47add6bb4587bee77d40daaecba66f3eccfdc9d29bd63492ee,23,80.25,30,0,pro,0
3312e361c0b9550607b44bc298116950a08ded8447c27b4405f0d84e26e8834d,30,47.95,30,0,pro,0
35cbcb3d505de27ded1711cadb56634e8f289c481c9b3092dd6aca7df91d6b64,2,60.7,4,0,pro,0
a202df4c2e6b60bf96d5547b9fc864c4ee856204abac8d630a7707e035129ab6,35,25.85,4,1,basic,1
8d8dfeb18d044e120ae2a67d6f74f227b4ee34cbd5707c475baeac3d259c9682,30,25.85,0,1,basic,1
6d92c7e49706a6784ac35c9fb14c9e8817e60090cc59c6902d180b260ff7b6a2,23,27.55,4,1,basic,1
31871f7b8776faac39009512d6ac62b941ab9913eee16d27838b41829701cd2b,14,59.0,30,0,pro,1
d70a6d6ab23b5f639a86c21ca0ef4f4b8a1a8c04cae52b4f01a95948930e8613,2,121.05,30,1,enterprise,0
7e35121a4f1f46d9716feea6c9c9bb4a9b29ac196247b957d241c2ced3a204a4,26,47.95,4,0,pro,0
f40993bd0318b7230f2268a17b0ca8cb352dbc0d734ef08419b4c635bd5770dc,11,76.0,30,0,pro,0
ff8ff91c664b0791c333f686b30cbdbb648668e76b98730214403b01af969ce4,31,46.25,30,0,basic,0
fddbca79521eb108dc89e51a860a21dd53a9743cd29cfea5e3d7b83428740f68,25,36.9,0,0,basic,1
37f2bb6319cc4cb036641eebfa23a47ede850d97c2a3426afba17c59e2e96586,20,110.85,30,0,enterprise,0
4b8a6c6c987a33ef6eadbf58c62922b660191f5f958ab7850ed7c240f58cc4f0,35,63.25,30,0,pro,0
57660d822a742108cc1148102995223ca8faa0d2d6c9196141800aa3d87ce326,13,68.35,30,0,pro,0
493be502d8230de8b14e18543ad455268df318fb2fecb50fb6a4d8aee2595263,34,30.95,0,1,basic,1
98e58a6f8b9b172b064522964dd4f0c9f1639aac2a8a4fa69f2d432b2b8e99be,8,44.55,4,0,basic,1
e5d7104761f8dc49138f4fe436d1cae8c534a5b4adaea9b2a216d5bf063b243e,29,68.35,4,0,pro,0
a17cc416fdc47ebfaed8ca3cb53b382cdd6a7167feee8282cb0e26fe042389db,29,70.05,30,0,pro,0
4e4ca76fb23219a2720f3da9803fba1f232f911a426a8371e16cdbdb68d0b15b,6,120.2,30,0,enterprise,0
9f033ca6b2228aeaac42b22fd787b20385c587b2949bbf62c3b79fd468011c9a,33,40.3,4,0,basic,0
93b9e21e9837fc5ff439d843629169d393ce9af489dcb3db323d00c89d9f268b,35,68.35,4,0,pro,1
6b88f6548522e9f1d4d55f8a0231a12727edfc457237295d8461bd03b2e02040,36,29.25,0,0,basic,1
