company_name,date,revenue,active_users,signups,is_injected_anomaly
GreenLeaf SaaS,2025-01-01,13664.85,787,38,False
GreenLeaf SaaS,2025-01-02,15622.73,981,44,False
GreenLeaf SaaS,2025-01-03,15075.32,959,48,False
GreenLeaf SaaS,2025-01-04,13799.59,650,27,False
GreenLeaf SaaS,2025-01-05,11446.44,573,16,False
GreenLeaf SaaS,2025-01-06,12194.87,729,29,False
GreenLeaf SaaS,2025-01-07,12056.11,641,31,False
GreenLeaf SaaS,2025-01-08,13811.65,958,44,False
GreenLeaf SaaS,2025-01-09,14702.26,923,40,False
GreenLeaf SaaS,2025-01-10,16691.16,849,43,False
GreenLeaf SaaS,2025-01-11,15329.94,779,33,False
GreenLeaf SaaS,2025-01-12,12795.13,590,22,False
GreenLeaf SaaS,2025-01-13,11449.88,672,34,False
GreenLeaf SaaS,2025-01-14,11981.12,608,25,False
GreenLeaf SaaS,2025-01-15,13291.39,674,31,False
GreenLeaf SaaS,2025-01-16,15516.21,741,27,False
GreenLeaf SaaS,2025-01-17,15435.3,943,36,False
GreenLeaf SaaS,2025-01-18,15259.03,776,32,False
GreenLeaf SaaS,2025-01-19,12802.32,624,37,False
GreenLeaf SaaS,2025-01-20,11715.33,470,23,False
GreenLeaf SaaS,2025-01-21,13302.71,778,34,False
GreenLeaf SaaS,2025-01-22,13510.88,773,33,False
GreenLeaf SaaS,2025-01-23,14461.75,873,40,False
GreenLeaf SaaS,2025-01-24,16423.02,1050,48,False
GreenLeaf SaaS,2025-01-25,13453.07,767,37,False
GreenLeaf SaaS,2025-01-26,13376.3,710,40,False
GreenLeaf SaaS,2025-01-27,12670.33,550,23,False
GreenLeaf SaaS,2025-01-28,12553.56,708,42,False
GreenLeaf SaaS,2025-01-29,14203.78,823,29,False
GreenLeaf SaaS,2025-01-30,14261.44,817,38,False
GreenLeaf SaaS,2025-01-31,16785.48,746,31,False
GreenLeaf SaaS,2025-02-01,15504.23,980,46,False
GreenLeaf SaaS,2025-02-02,12585.61,759,29,False
GreenLeaf SaaS,2025-02-03,13400.44,707,28,False
GreenLeaf SaaS,2025-02-04,11892.88,633,29,False
GreenLeaf SaaS,2025-02-05,13169.89,548,19,False
GreenLeaf SaaS,2025-02-06,14634.85,844,51,False
GreenLeaf SaaS,2025-02-07,16560.39,887,45,False
GreenLeaf SaaS,2025-02-08,15655.67,761,38,False
GreenLeaf SaaS,2025-02-09,13836.9,958,45,False
GreenLeaf SaaS,2025-02-10,12176.51,824,39,False
GreenLeaf SaaS,2025-02-11,12307.39,753,33,False
GreenLeaf SaaS,2025-02-12,15172.68,841,39,False
GreenLeaf SaaS,2025-02-13,15564.54,746,33,False
GreenLeaf SaaS,2025-02-14,15735.29,872,35,False
GreenLeaf SaaS,2025-02-15,16682.98,972,43,False
GreenLeaf SaaS,2025-02-16,13831.62,758,40,False
GreenLeaf SaaS,2025-02-17,12837.89,710,33,False
GreenLeaf SaaS,2025-02-18,13397.7,762,41,False
GreenLeaf SaaS,2025-02-19,14322.1,686,35,False
GreenLeaf SaaS,2025-02-20,16062.65,971,53,False
GreenLeaf SaaS,2025-02-21,17503.84,1069,49,False
GreenLeaf SaaS,2025-02-22,15300.94,809,37,False
GreenLeaf SaaS,2025-02-23,14116.84,718,31,False
GreenLeaf SaaS,2025-02-24,12644.41,906,46,False
GreenLeaf SaaS,2025-02-25,12370.18,797,34,False
GreenLeaf SaaS,2025-02-26,15651.82,647,32,False
GreenLeaf SaaS,2025-02-27,15634.03,859,32,False
GreenLeaf SaaS,2025-02-28,17375.53,868,37,False
GreenLeaf SaaS,2025-03-01,16041.68,804,42,False
GreenLeaf SaaS,2025-03-02,14949.85,764,37,False
GreenLeaf SaaS,2025-03-03,12142.09,679,36,False
GreenLeaf SaaS,2025-03-04,12960.58,707,30,False
GreenLeaf SaaS,2025-03-05,15043.71,712,31,False
GreenLeaf SaaS,2025-03-06,17076.11,845,31,False
GreenLeaf SaaS,2025-03-07,18148.31,811,36,False
GreenLeaf SaaS,2025-03-08,16442.52,905,44,False
GreenLeaf SaaS,2025-03-09,14255.27,818,36,False
GreenLeaf SaaS,2025-03-10,13694.77,843,38,False
GreenLeaf SaaS,2025-03-11,14905.11,922,38,False
GreenLeaf SaaS,2025-03-12,14273.35,802,33,False
GreenLeaf SaaS,2025-03-13,17132.54,913,41,False
GreenLeaf SaaS,2025-03-14,18282.38,1221,58,False
GreenLeaf SaaS,2025-03-15,16466.07,826,36,False
GreenLeaf SaaS,2025-03-16,15452.16,728,36,False
GreenLeaf SaaS,2025-03-17,12969.68,676,35,False
GreenLeaf SaaS,2025-03-18,12969.43,739,31,False
GreenLeaf SaaS,2025-03-19,16179.9,1028,42,False
GreenLeaf SaaS,2025-03-20,14948.45,785,26,False
GreenLeaf SaaS,2025-03-21,17412.23,812,38,False
GreenLeaf SaaS,2025-03-22,18567.74,1102,47,False
GreenLeaf SaaS,2025-03-23,14619.74,769,35,False
GreenLeaf SaaS,2025-03-24,13596.1,653,27,False
GreenLeaf SaaS,2025-03-25,13176.89,645,28,False
GreenLeaf SaaS,2025-03-26,15683.26,884,41,False
GreenLeaf SaaS,2025-03-27,17449.47,800,35,False
GreenLeaf SaaS,2025-03-28,19740.79,1238,60,False
GreenLeaf SaaS,2025-03-29,15964.65,871,36,False
GreenLeaf SaaS,2025-03-30,12743.84,712,29,False
GreenLeaf SaaS,2025-03-31,13801.4,867,37,False
GreenLeaf SaaS,2025-04-01,15096.26,767,36,False
GreenLeaf SaaS,2025-04-02,15352.87,859,34,False
GreenLeaf SaaS,2025-04-03,16174.39,890,45,False
GreenLeaf SaaS,2025-04-04,17310.13,1007,38,False
GreenLeaf SaaS,2025-04-05,17395.94,1200,53,False
GreenLeaf SaaS,2025-04-06,14551.92,703,33,False
GreenLeaf SaaS,2025-04-07,13726.75,756,28,False
GreenLeaf SaaS,2025-04-08,12515.51,898,42,False
GreenLeaf SaaS,2025-04-09,15682.86,785,39,False
GreenLeaf SaaS,2025-04-10,18732.84,1195,55,False
GreenLeaf SaaS,2025-04-11,18277.9,1023,46,False
GreenLeaf SaaS,2025-04-12,16359.67,1007,45,False
GreenLeaf SaaS,2025-04-13,15960.03,940,42,False
GreenLeaf SaaS,2025-04-14,14555.79,839,42,False
GreenLeaf SaaS,2025-04-15,14033.33,694,30,False
GreenLeaf SaaS,2025-04-16,15700.97,858,37,False
GreenLeaf SaaS,2025-04-17,19417.12,1144,55,False
GreenLeaf SaaS,2025-04-18,18241.9,976,46,False
GreenLeaf SaaS,2025-04-19,17318.33,858,43,False
GreenLeaf SaaS,2025-04-20,16737.28,836,33,False
GreenLeaf SaaS,2025-04-21,14178.22,923,46,False
GreenLeaf SaaS,2025-04-22,14189.27,941,42,False
GreenLeaf SaaS,2025-04-23,14880.59,758,30,False
GreenLeaf SaaS,2025-04-24,18514.76,1026,49,False
GreenLeaf SaaS,2025-04-25,18913.06,1170,54,False
GreenLeaf SaaS,2025-04-26,17130.61,980,40,False
