company_name,date,revenue,active_users,signups,is_injected_anomaly
MixedCo,2025-01-01,9771.07,559,23,False
MixedCo,2025-01-02,10825.88,592,29,False
MixedCo,2025-01-03,11542.24,665,27,False
MixedCo,2025-01-04,11103.57,590,22,False
MixedCo,2025-01-05,9283.47,506,21,False
MixedCo,2025-01-06,8653.98,462,23,False
MixedCo,2025-01-07,9067.35,523,28,False
MixedCo,2025-01-08,10352.15,511,20,False
MixedCo,2025-01-09,10683.04,646,24,False
MixedCo,2025-01-10,11741.64,710,32,False
MixedCo,2025-01-11,10652.0,582,33,False
MixedCo,2025-01-12,9078.01,459,24,False
MixedCo,2025-01-13,8258.24,514,29,False
MixedCo,2025-01-14,8738.32,494,23,False
MixedCo,2025-01-15,9516.54,521,28,False
MixedCo,2025-01-16,10373.3,572,30,False
MixedCo,2025-01-17,11517.34,639,31,False
MixedCo,2025-01-18,11082.11,654,33,False
MixedCo,2025-01-19,9253.1,513,21,False
MixedCo,2025-01-20,8870.36,495,26,False
MixedCo,2025-01-21,8668.04,495,16,False
MixedCo,2025-01-22,9522.29,537,20,False
MixedCo,2025-01-23,10345.11,546,23,False
MixedCo,2025-01-24,11017.6,620,29,False
MixedCo,2025-01-25,11452.21,604,29,False
MixedCo,2025-01-26,9265.54,536,26,False
MixedCo,2025-01-27,7782.44,413,15,False
MixedCo,2025-01-28,8850.55,491,22,False
MixedCo,2025-01-29,9834.03,558,26,False
MixedCo,2025-01-30,10939.18,554,20,False
MixedCo,2025-01-31,11128.6,592,34,False
MixedCo,2025-02-01,10232.37,557,24,False
MixedCo,2025-02-02,9205.2,508,24,False
MixedCo,2025-02-03,7788.61,443,16,False
MixedCo,2025-02-04,8349.71,480,22,False
MixedCo,2025-02-05,9869.78,584,22,False
MixedCo,2025-02-06,11641.52,661,34,False
MixedCo,2025-02-07,11767.97,664,28,False
MixedCo,2025-02-08,11681.42,633,19,False
MixedCo,2025-02-09,9953.32,562,21,False
MixedCo,2025-02-10,7774.29,457,22,False
MixedCo,2025-02-11,9096.69,510,26,False
MixedCo,2025-02-12,10533.72,608,26,False
MixedCo,2025-02-13,11347.79,690,28,False
MixedCo,2025-02-14,10445.11,532,25,False
MixedCo,2025-02-15,10503.79,576,25,False
MixedCo,2025-02-16,9007.78,515,17,False
MixedCo,2025-02-17,8736.15,558,25,False
MixedCo,2025-02-18,9380.71,489,13,False
MixedCo,2025-02-19,10372.9,571,23,False
MixedCo,2025-02-20,10647.1,612,20,False
MixedCo,2025-02-21,11975.3,693,30,False
MixedCo,2025-02-22,10709.96,545,20,False
MixedCo,2025-02-23,9864.16,532,23,False
MixedCo,2025-02-24,8454.45,471,23,False
MixedCo,2025-02-25,8961.75,465,14,False
MixedCo,2025-02-26,10019.81,533,22,False
MixedCo,2025-02-27,11104.47,679,22,False
MixedCo,2025-02-28,12389.64,691,33,False
MixedCo,2025-03-01,11182.5,640,27,False
MixedCo,2025-03-02,9594.65,532,19,False
MixedCo,2025-03-03,7985.21,468,25,False
MixedCo,2025-03-04,8562.45,457,20,False
MixedCo,2025-03-05,10057.97,571,27,False
MixedCo,2025-03-06,11556.09,729,33,False
MixedCo,2025-03-07,10530.24,576,25,False
MixedCo,2025-03-08,11146.25,670,34,False
MixedCo,2025-03-09,8863.89,465,21,False
MixedCo,2025-03-10,8054.01,502,19,False
MixedCo,2025-03-11,9332.03,511,25,False
MixedCo,2025-03-12,12174.15,693,33,True
MixedCo,2025-03-13,11410.87,637,28,False
MixedCo,2025-03-14,12085.95,708,33,False
MixedCo,2025-03-15,11018.7,617,23,False
MixedCo,2025-03-16,8869.8,466,26,False
MixedCo,2025-03-17,8315.43,408,22,False
MixedCo,2025-03-18,8585.26,508,24,False
MixedCo,2025-03-19,10229.33,526,27,False
MixedCo,2025-03-20,11398.96,606,37,False
MixedCo,2025-03-21,12144.55,656,24,False
MixedCo,2025-03-22,10965.1,588,26,False
MixedCo,2025-03-23,9838.96,542,25,False
MixedCo,2025-03-24,8490.28,478,20,False
MixedCo,2025-03-25,8723.63,465,13,False
MixedCo,2025-03-26,9268.28,551,28,False
MixedCo,2025-03-27,10853.38,611,22,False
MixedCo,2025-03-28,10539.47,609,24,False
MixedCo,2025-03-29,10258.79,561,22,False
MixedCo,2025-03-30,10110.01,563,31,False
MixedCo,2025-03-31,8690.65,471,18,False
MixedCo,2025-04-01,8907.49,456,22,False
MixedCo,2025-04-02,10009.65,523,18,False
MixedCo,2025-04-03,10963.95,587,26,False
MixedCo,2025-04-04,11492.96,648,25,False
MixedCo,2025-04-05,11276.31,628,22,False
MixedCo,2025-04-06,8917.88,486,22,False
MixedCo,2025-04-07,8320.15,485,22,False
MixedCo,2025-04-08,8480.24,456,27,False
MixedCo,2025-04-09,9900.68,525,24,False
MixedCo,2025-04-10,12741.52,716,29,False
MixedCo,2025-04-11,12647.18,732,28,False
MixedCo,2025-04-12,11809.79,665,38,False
MixedCo,2025-04-13,8808.66,474,18,False
MixedCo,2025-04-14,8003.92,442,21,False
MixedCo,2025-04-15,9328.14,574,29,False
MixedCo,2025-04-16,9623.85,497,21,False
MixedCo,2025-04-17,11455.27,642,26,False
MixedCo,2025-04-18,10769.42,539,17,False
MixedCo,2025-04-19,11372.98,613,28,False
MixedCo,2025-04-20,9385.44,518,32,False
MixedCo,2025-04-21,8454.62,479,19,False
MixedCo,2025-04-22,10194.28,569,30,False
MixedCo,2025-04-23,10199.12,585,23,False
MixedCo,2025-04-24,10684.49,534,27,False
MixedCo,2025-04-25,11045.75,612,27,False
MixedCo,2025-04-26,11427.12,662,36,False
MixedCo,2025-04-27,8990.93,493,26,False
MixedCo,2025-04-28,9296.57,486,21,False
MixedCo,2025-04-29,8366.13,417,30,False
MixedCo,2025-04-30,10182.06,527,21,False
MixedCo,2025-05-01,10581.63,590,19,False
MixedCo,2025-05-02,12149.23,650,29,False
MixedCo,2025-05-03,11367.57,612,23,False
MixedCo,2025-05-04,9630.41,555,26,False
MixedCo,2025-05-05,8467.22,422,16,False
MixedCo,2025-05-06,8584.2,498,22,False
MixedCo,2025-05-07,9945.21,560,25,False
MixedCo,2025-05-08,10489.03,573,25,False
MixedCo,2025-05-09,11048.58,563,22,False
MixedCo,2025-05-10,11397.82,622,28,False
MixedCo,2025-05-11,9154.05,520,25,False
MixedCo,2025-05-12,8580.62,426,17,False
MixedCo,2025-05-13,9514.33,522,22,False
MixedCo,2025-05-14,10245.02,564,27,False
MixedCo,2025-05-15,11276.36,555,19,False
MixedCo,2025-05-16,12181.69,646,26,False
MixedCo,2025-05-17,11000.79,622,31,False
MixedCo,2025-05-18,9620.16,523,23,False
MixedCo,2025-05-19,8704.9,523,23,False
MixedCo,2025-05-20,9565.42,567,36,False
MixedCo,2025-05-21,10961.77,572,26,False
MixedCo,2025-05-22,9933.87,505,22,False
MixedCo,2025-05-23,12725.85,728,30,False
