company_name,date,revenue,active_users,signups,is_injected_anomaly
RedFlag Analytics,2025-01-01,12331.43,743,28,False
RedFlag Analytics,2025-01-02,12898.89,645,22,False
RedFlag Analytics,2025-01-03,13364.98,697,34,False
RedFlag Analytics,2025-01-04,12897.9,672,26,False
RedFlag Analytics,2025-01-05,11141.01,622,29,False
RedFlag Analytics,2025-01-06,10042.0,493,27,False
RedFlag Analytics,2025-01-07,9887.4,527,20,False
RedFlag Analytics,2025-01-08,10822.8,655,29,False
RedFlag Analytics,2025-01-09,12965.18,760,39,False
RedFlag Analytics,2025-01-10,12706.27,767,33,False
RedFlag Analytics,2025-01-11,12602.83,678,29,False
RedFlag Analytics,2025-01-12,10722.55,556,17,False
RedFlag Analytics,2025-01-13,9317.16,528,29,False
RedFlag Analytics,2025-01-14,10127.9,527,23,False
RedFlag Analytics,2025-01-15,11709.28,647,24,False
RedFlag Analytics,2025-01-16,12731.33,702,35,False
RedFlag Analytics,2025-01-17,12424.96,712,30,False
RedFlag Analytics,2025-01-18,12158.38,732,33,False
RedFlag Analytics,2025-01-19,10709.48,650,27,False
RedFlag Analytics,2025-01-20,9992.32,592,30,False
RedFlag Analytics,2025-01-21,10268.25,563,28,False
RedFlag Analytics,2025-01-22,10704.41,621,26,False
RedFlag Analytics,2025-01-23,12202.25,664,30,False
RedFlag Analytics,2025-01-24,13211.04,699,38,False
RedFlag Analytics,2025-01-25,10890.36,546,25,False
RedFlag Analytics,2025-01-26,10839.07,580,24,False
RedFlag Analytics,2025-01-27,9117.04,527,29,False
RedFlag Analytics,2025-01-28,9620.27,562,23,False
RedFlag Analytics,2025-01-29,11922.28,665,30,False
RedFlag Analytics,2025-01-30,12368.95,711,27,False
RedFlag Analytics,2025-01-31,12523.45,674,27,False
RedFlag Analytics,2025-02-01,11966.96,731,31,False
RedFlag Analytics,2025-02-02,10297.68,579,28,False
RedFlag Analytics,2025-02-03,9141.49,496,26,False
RedFlag Analytics,2025-02-04,9867.01,575,24,False
RedFlag Analytics,2025-02-05,12204.84,673,33,False
RedFlag Analytics,2025-02-06,12870.9,729,32,False
RedFlag Analytics,2025-02-07,12885.02,775,38,False
RedFlag Analytics,2025-02-08,11852.68,628,25,False
RedFlag Analytics,2025-02-09,10668.94,583,27,False
RedFlag Analytics,2025-02-10,9649.84,530,23,False
RedFlag Analytics,2025-02-11,9249.73,517,24,False
RedFlag Analytics,2025-02-12,11211.65,698,41,False
RedFlag Analytics,2025-02-13,12233.98,717,33,False
RedFlag Analytics,2025-02-14,13576.12,807,42,False
RedFlag Analytics,2025-02-15,11481.73,540,29,False
RedFlag Analytics,2025-02-16,10810.57,622,22,False
RedFlag Analytics,2025-02-17,8743.3,499,24,False
RedFlag Analytics,2025-02-18,9732.74,564,30,False
RedFlag Analytics,2025-02-19,10457.21,584,20,False
RedFlag Analytics,2025-02-20,11569.16,619,25,False
RedFlag Analytics,2025-02-21,12885.61,746,47,False
RedFlag Analytics,2025-02-22,10941.42,603,28,False
RedFlag Analytics,2025-02-23,10018.99,559,24,False
RedFlag Analytics,2025-02-24,8878.87,472,22,False
RedFlag Analytics,2025-02-25,9690.72,533,21,False
RedFlag Analytics,2025-02-26,10901.41,629,29,False
RedFlag Analytics,2025-02-27,10699.97,629,29,False
RedFlag Analytics,2025-02-28,12726.1,708,31,False
RedFlag Analytics,2025-03-01,11063.08,620,34,False
RedFlag Analytics,2025-03-02,11008.54,606,34,False
RedFlag Analytics,2025-03-03,9528.25,566,30,False
RedFlag Analytics,2025-03-04,9873.8,534,21,False
RedFlag Analytics,2025-03-05,9408.0,514,21,False
RedFlag Analytics,2025-03-06,12941.58,725,27,False
RedFlag Analytics,2025-03-07,17737.81,971,45,True
