customer_id,tenure,monthly_spend,usage_frequency,support_tickets,plan_type
ACME-0000,8,62.16,6,0,freemium
ACME-0001,20,46.3,6,4,team
ACME-0002,3,53.77,7,1,freemium
ACME-0003,7,36.34,4,0,team
ACME-0004,10,48.37,4,2,team
ACME-0005,9,54.91,5,2,team
ACME-0006,27,26.76,2,4,freemium
ACME-0007,24,36.88,2,0,business
ACME-0008,27,54.77,1,1,team
ACME-0009,29,83.98,4,2,freemium
ACME-0010,3,55.4,5,2,freemium
ACME-0011,5,47.06,0,1,freemium
ACME-0012,26,34.48,0,0,freemium
ACME-0013,3,54.27,3,0,business
ACME-0014,5,10.0,1,0,business
ACME-0015,6,47.21,4,0,freemium
ACME-0016,27,42.72,4,1,freemium
ACME-0017,11,39.69,2,5,team
ACME-0018,8,85.13,4,1,business
ACME-0019,5,10.0,2,0,freemium
ACME-0020,14,47.64,5,1,freemium
ACME-0021,18,49.1,4,2,freemium
ACME-0022,24,55.48,1,3,team
ACME-0023,18,22.37,0,3,freemium
ACME-0024,29,40.53,3,3,freemium
ACME-0025,4,24.07,1,2,freemium
ACME-0026,15,45.96,2,2,team
ACME-0027,17,51.13,1,1,freemium
ACME-0028,20,50.63,6,2,team
ACME-0029,1,44.83,2,1,freemium
ACME-0030,6,50.98,1,1,freemium
ACME-0031,14,50.84,7,2,business
ACME-0032,2,54.48,7,2,team
ACME-0033,29,48.4,6,1,freemium
ACME-0034,19,19.47,2,0,freemium
ACME-0035,24,34.96,3,2,freemium
ACME-0036,15,53.53,5,2,business
ACME-0037,18,33.43,5,0,freemium
ACME-0038,11,35.23,1,0,freemium
ACME-0039,10,49.81,3,2,team
ACME-0040,4,47.27,2,1,team
ACME-0041,6,62.3,6,2,freemium
ACME-0042,23,56.19,2,3,business
ACME-0043,13,41.04,5,0,business
ACME-0044,24,49.83,0,1,freemium
ACME-0045,9,10.0,0,1,freemium
ACME-0046,21,35.24,4,2,freemium
ACME-0047,26,45.64,4,2,team
ACME-0048,25,10.0,5,2,freemium
ACME-0049,7,42.84,2,1,team
ACME-0050,11,52.03,1,2,freemium
ACME-0051,8,64.56,7,1,team
ACME-0052,24,54.45,1,1,business
ACME-0053,24,78.15,4,0,business
ACME-0054,13,72.45,4,2,business
ACME-0055,8,21.85,7,0,freemium
ACME-0056,2,44.38,3,1,freemium
ACME-0057,8,45.5,6,1,business
ACME-0058,5,49.47,7,2,freemium
ACME-0059,3,38.84,3,4,business
ACME-0060,23,57.77,0,2,freemium
ACME-0061,14,59.92,7,0,freemium
ACME-0062,29,23.61,4,1,freemium
ACME-0063,8,63.13,7,0,freemium
ACME-0064,12,37.64,0,1,business
ACME-0065,26,64.9,1,0,freemium
ACME-0066,18,57.03,7,1,team
ACME-0067,9,45.91,3,0,freemium
ACME-0068,11,79.81,3,4,business
ACME-0069,23,62.24,0,3,team
ACME-0070,11,48.52,7,1,team
ACME-0071,15,51.98,3,2,freemium
ACME-0072,15,86.64,4,2,team
ACME-0073,14,70.67,3,1,team
ACME-0074,15,63.2,5,0,freemium
ACME-0075,28,51.44,3,1,business
ACME-0076,7,57.0,0,1,freemium
ACME-0077,27,50.38,1,2,freemium
ACME-0078,6,23.59,2,0,team
ACME-0079,3,62.17,4,3,freemium
ACME-0080,10,54.64,2,2,team
ACME-0081,8,26.39,3,2,team
ACME-0082,19,37.72,2,1,team
ACME-0083,6,44.03,3,1,team
ACME-0084,6,53.21,5,2,team
ACME-0085,27,75.66,6,3,freemium
ACME-0086,24,48.28,5,2,freemium
ACME-0087,17,16.94,4,1,team
ACME-0088,27,58.4,0,3,freemium
ACME-0089,11,45.31,0,4,freemium
ACME-0090,3,20.12,5,2,business
ACME-0091,25,11.49,3,1,business
ACME-0092,3,30.97,7,3,freemium
ACME-0093,11,54.05,7,2,freemium
ACME-0094,14,35.87,5,2,team
ACME-0095,20,57.6,2,2,freemium
ACME-0096,4,43.5,3,1,team
ACME-0097,7,50.94,1,0,team
ACME-0098,3,59.25,4,3,freemium
ACME-0099,1,57.26,0,1,team
ACME-0100,6,31.16,0,0,freemium
ACME-0101,21,78.85,4,2,business
ACME-0102,16,16.36,4,0,freemium
ACME-0103,10,44.99,1,0,freemium
ACME-0104,20,31.65,6,4,team
ACME-0105,10,67.04,2,0,team
ACME-0106,29,27.03,2,1,team
ACME-0107,8,31.45,6,0,business
ACME-0108,20,29.78,5,0,freemium
ACME-0109,8,25.95,7,4,team
ACME-0110,17,38.83,5,3,team
ACME-0111,17,50.88,1,1,freemium
ACME-0112,27,32.49,3,2,business
ACME-0113,10,20.9,1,0,business
ACME-0114,4,43.5,2,3,freemium
ACME-0115,13,47.27,2,1,business
ACME-0116,18,59.15,7,1,team
ACME-0117,6,34.81,7,2,freemium
ACME-0118,29,44.76,6,1,business
ACME-0119,15,62.28,0,1,freemium
ACME-0120,15,31.88,3,1,team
ACME-0121,17,46.23,5,2,freemium
ACME-0122,17,42.01,6,1,business
ACME-0123,13,24.71,7,1,team
ACME-0124,17,45.92,6,1,business
ACME-0125,12,65.75,2,1,freemium
ACME-0126,29,83.69,5,1,business
ACME-0127,28,24.69,1,0,team
ACME-0128,16,62.71,2,1,freemium
ACME-0129,2,65.64,6,0,freemium
ACME-0130,10,67.3,5,4,business
ACME-0131,10,40.88,1,0,freemium
ACME-0132,20,52.9,6,1,business
ACME-0133,16,38.09,5,4,freemium
ACME-0134,4,56.84,0,5,team
ACME-0135,18,67.04,7,2,team
ACME-0136,1,43.9,1,1,team
ACME-0137,2,51.41,2,1,team
ACME-0138,1,61.62,6,1,freemium
ACME-0139,7,59.35,0,1,team
ACME-0140,28,37.28,1,1,freemium
ACME-0141,2,69.8,4,3,freemium
ACME-0142,18,55.63,0,1,freemium
ACME-0143,1,50.35,5,0,business
ACME-0144,2,48.52,4,2,business
ACME-0145,10,59.06,3,0,freemium
ACME-0146,5,64.36,6,0,business
ACME-0147,12,27.62,2,1,team
ACME-0148,2,34.03,3,2,team
ACME-0149,25,20.33,3,2,freemium
ACME-0150,14,55.04,4,4,freemium
ACME-0151,1,54.12,5,0,team
ACME-0152,1,42.37,1,0,business
ACME-0153,21,30.42,1,2,freemium
ACME-0154,11,68.92,4,0,team
ACME-0155,14,73.57,4,0,business
ACME-0156,20,73.24,1,2,team
ACME-0157,18,48.78,1,0,freemium
ACME-0158,20,50.23,3,2,team
ACME-0159,5,50.19,5,1,freemium
ACME-0160,23,45.82,0,0,team
ACME-0161,24,28.35,5,2,team
ACME-0162,17,38.29,0,1,freemium
ACME-0163,11,61.04,1,1,freemium
ACME-0164,9,47.95,4,2,team
ACME-0165,12,40.37,1,3,team
ACME-0166,23,43.97,0,0,freemium
ACME-0167,17,75.99,2,0,freemium
ACME-0168,6,71.79,4,2,freemium
ACME-0169,8,65.63,2,0,freemium
ACME-0170,6,50.82,4,0,freemium
ACME-0171,13,28.64,2,3,team
ACME-0172,9,51.1,2,1,business
ACME-0173,4,42.84,6,4,team
ACME-0174,19,57.91,0,2,team
ACME-0175,21,64.37,0,1,freemium
ACME-0176,10,37.08,2,1,team
ACME-0177,3,69.09,1,1,business
ACME-0178,12,48.93,7,3,business
ACME-0179,9,49.44,5,3,team
