date,revenue,active_users,signups
2025-04-15,9492.51,452,8
2025-04-16,9568.08,456,12
2025-04-17,9733.58,464,5
2025-04-18,9481.18,451,2
2025-04-19,9436.75,449,10
2025-04-20,9423.99,449,9
2025-04-21,9535.82,454,7
2025-04-22,9240.87,440,11
2025-04-23,9634.34,459,8
2025-04-24,9473.31,451,12
2025-04-25,9143.34,435,13
2025-04-26,9582.96,456,7
2025-04-27,8897.47,424,13
2025-04-28,8755.66,417,5
2025-04-29,9289.31,442,7
2025-04-30,9005.17,429,6
2025-05-01,9009.26,429,13
2025-05-02,9205.53,438,13
2025-05-03,9290.69,442,9
2025-05-04,9487.53,452,10
2025-05-05,9129.9,435,11
2025-05-06,8878.27,423,7
2025-05-07,9103.83,434,13
2025-05-08,8907.53,424,9
2025-05-09,8841.22,421,3
2025-05-10,9131.73,435,13
2025-05-11,9146.94,436,6
2025-05-12,8521.73,406,13
2025-05-13,9053.35,431,4
2025-05-14,8863.22,422,4
2025-05-15,8911.18,424,13
2025-05-16,8599.54,410,13
2025-05-17,8562.3,408,13
2025-05-18,8650.2,412,8
2025-05-19,8822.55,420,9
2025-05-20,8664.41,413,6
2025-05-21,8604.55,410,6
2025-05-22,8827.06,420,3
2025-05-23,8477.66,404,13
2025-05-24,8242.02,392,9
2025-05-25,8674.15,413,9
2025-05-26,8337.7,397,9
2025-05-27,8576.07,408,11
2025-05-28,8728.82,416,4
2025-05-29,8334.53,397,8
2025-05-30,8366.61,398,10
2025-05-31,8191.97,390,9
2025-06-01,8418.32,401,12
2025-06-02,8262.8,393,7
2025-06-03,8038.4,383,13
2025-06-04,8317.82,396,8
2025-06-05,8532.04,406,9
2025-06-06,8080.51,385,9
2025-06-07,8345.14,397,6
2025-06-08,8149.27,388,5
2025-06-09,7906.37,376,13
2025-06-10,8502.75,405,11
2025-06-11,8305.03,395,9
2025-06-12,8222.08,392,2
2025-06-13,8031.17,382,8
2025-06-14,7803.29,372,13
2025-06-15,8305.93,396,11
2025-06-16,7979.93,380,2
2025-06-17,8441.97,402,8
2025-06-18,7936.44,378,11
2025-06-19,7986.24,380,13
2025-06-20,8005.58,381,6
2025-06-21,7965.48,379,10
2025-06-22,8074.34,384,10
2025-06-23,7959.91,379,10
2025-06-24,7980.75,380,9
2025-06-25,7823.29,373,5
2025-06-26,8202.08,391,9
2025-06-27,7911.63,377,9
2025-06-28,7814.33,372,7
2025-06-29,7875.11,375,4
2025-06-30,7654.83,365,7
2025-07-01,7738.65,369,13
2025-07-02,7844.6,374,7
2025-07-03,7830.64,373,11
2025-07-04,8097.68,386,3
2025-07-05,7732.53,368,4
2025-07-06,7791.56,371,12
2025-07-07,7520.08,358,3
2025-07-08,7921.4,377,6
2025-07-09,7617.86,363,4
2025-07-10,8024.32,382,10
2025-07-11,7294.86,347,12
2025-07-12,4097.05,195,4
2025-07-13,3926.28,187,6
2025-07-14,3915.74,186,5
2025-07-15,7337.6,349,4
2025-07-16,7651.42,364,5
2025-07-17,7744.39,369,4
2025-07-18,7246.96,345,11
2025-07-19,7522.73,358,9
2025-07-20,7323.34,349,5
2025-07-21,7495.9,357,10
2025-07-22,7476.09,356,6
2025-07-23,7167.61,341,12
2025-07-24,7033.65,335,13
2025-07-25,7330.89,349,11
2025-07-26,7494.71,357,2
2025-07-27,7100.61,338,3
2025-07-28,7301.97,348,10
2025-07-29,7408.99,353,11
2025-07-30,7150.45,340,12
2025-07-31,7027.16,335,5
2025-08-01,7162.37,341,13
2025-08-02,7366.53,351,12
2025-08-03,7196.36,343,12
2025-08-04,7426.02,354,2
2025-08-05,6925.75,330,8
2025-08-06,7598.04,362,11
2025-08-07,7188.94,342,11
2025-08-08,6974.86,332,9
2025-08-09,7358.08,350,8
2025-08-10,6988.08,333,5
2025-08-11,6925.07,330,7
2025-08-12,6947.47,331,10
